x;y;z;rho_b
55;49;38;0.109327
56;49;38;0.0541503
57;49;38;0.0214244
58;49;38;0.00693237
41;50;38;0.0122413
42;50;38;0.0343238
43;50;38;0.0776179
44;50;38;0.140597
45;50;38;0.209307
46;50;38;0.268876
47;50;38;0.311982
48;50;38;0.337897
49;50;38;0.348405
50;50;38;0.344821
51;50;38;0.326609
52;50;38;0.292024
53;50;38;0.240042
54;50;38;0.174301
55;50;38;0.106418
56;50;38;0.0524515
57;50;38;0.0206862
58;50;38;0.00668807
41;51;38;0.0102865
42;51;38;0.0290778
43;51;38;0.0670336
44;51;38;0.124541
45;51;38;0.189801
46;51;38;0.248688
47;51;38;0.29241
48;51;38;0.31932
49;51;38;0.330483
50;51;38;0.326609
51;51;38;0.307578
52;51;38;0.271983
53;51;38;0.219959
54;51;38;0.156303
55;51;38;0.0929731
56;51;38;0.0448203
57;51;38;0.0174213
58;51;38;0.00561613
41;52;38;0.00753227
42;52;38;0.0215058
43;52;38;0.0509753
44;52;38;0.0985633
45;52;38;0.15701
46;52;38;0.212579
47;52;38;0.256445
48;52;38;0.284323
49;52;38;0.296064
50;52;38;0.292024
51;52;38;0.271983
52;52;38;0.235792
53;52;38;0.184961
54;52;38;0.126441
55;52;38;0.0720796
56;52;38;0.0335112
57;52;38;0.0127864
42;53;38;0.0138146
43;53;38;0.0336993
44;53;38;0.0683666
45;53;38;0.114838
46;53;38;0.163797
47;53;38;0.204637
48;53;38;0.232254
49;53;38;0.244171
50;53;38;0.240042
51;53;38;0.219959
52;53;38;0.184961
53;53;38;0.13914
54;53;38;0.089957
55;53;38;0.0486414
56;53;38;0.021792
57;53;38;0.00818668
42;54;38;0.00774419
43;54;38;0.0192119
44;54;38;0.0405688
45;54;38;0.072265
46;54;38;0.10902
47;54;38;0.143027
48;54;38;0.167252
49;54;38;0.178096
50;54;38;0.174301
51;54;38;0.156303
52;54;38;0.126441
53;54;38;0.089957
54;54;38;0.0548695
55;54;38;0.0282114
56;54;38;0.0122631
43;55;38;0.00945374
44;55;38;0.020471
45;55;38;0.0380621
46;55;38;0.0606409
47;55;38;0.0834824
48;55;38;0.101076
49;55;38;0.109327
50;55;38;0.106418
51;55;38;0.0929731
52;55;38;0.0720796
53;55;38;0.0486414
54;55;38;0.0282114
55;55;38;0.0140091
56;55;38;0.00601887
44;56;38;0.00882449
45;56;38;0.0167664
46;56;38;0.0276845
47;56;38;0.0395846
48;56;38;0.0493848
49;56;38;0.0541503
50;56;38;0.0524515
51;56;38;0.0448203
52;56;38;0.0335112
53;56;38;0.021792
54;56;38;0.0122631
55;56;38;0.00601887
45;57;38;0.00627929
46;57;38;0.0104723
47;57;38;0.0152535
48;57;38;0.0193588
49;57;38;0.0214244
50;57;38;0.0206862
51;57;38;0.0174213
52;57;38;0.0127864
53;57;38;0.00818668
48;58;38;0.00625084
49;58;38;0.00693237
50;58;38;0.00668807
51;58;38;0.00561613
46;40;39;0.00823274
47;40;39;0.012005
48;40;39;0.0152683
49;40;39;0.016909
50;40;39;0.0163217
51;40;39;0.0137265
52;40;39;0.0100547
53;40;39;0.00643332
44;41;39;0.00851243
45;41;39;0.0161483
46;41;39;0.0266785
47;41;39;0.0381766
48;41;39;0.0476349
49;41;39;0.0522529
50;41;39;0.0506123
51;41;39;0.043214
52;41;39;0.0323145
53;41;39;0.0209767
54;41;39;0.0118141
55;41;39;0.0058126
43;42;39;0.0111253
44;42;39;0.0239248
45;42;39;0.0440982
46;42;39;0.0694134
47;42;39;0.0946152
48;42;39;0.113765
49;42;39;0.122526
50;42;39;0.119443
51;42;39;0.105015
52;42;39;0.0820429
53;42;39;0.0560208
54;42;39;0.0328454
55;42;39;0.0164248
56;42;39;0.00710041
42;43;39;0.0111253
43;43;39;0.0271833
44;43;39;0.0560535
45;43;39;0.0963859
46;43;39;0.140707
47;43;39;0.179269
48;43;39;0.205722
49;43;39;0.217425
50;43;39;0.213365
51;43;39;0.19382
52;43;39;0.160627
53;43;39;0.118082
54;43;39;0.0745116
55;43;39;0.0395218
56;43;39;0.0175092
57;43;39;0.00662558
41;44;39;0.00851243
42;44;39;0.0239248
43;44;39;0.0560535
44;44;39;0.106868
45;44;39;0.167973
46;44;39;0.224925
47;44;39;0.268863
48;44;39;0.296567
