time;PosX;PosY;v_x;v_y;Re;alpha;a
1140;299.731;49.8476;-452133e-9;0.0315621;71.0674;0.0073385940241568574;16.73747199864075
1150;299.728;50.1646;-455937e-9;0.0317596;71.512;0.006766427742415168;16.76039207653502
1160;299.723;50.4821;-479466e-9;0.031941;71.9205;0.006921613762709692;16.781293578970434
1170;299.717;50.8037;-497919e-9;0.0321517;72.3948;0.007223654023135088;16.800263528428555
1180;299.713;51.1269;-474503e-9;0.0323516;72.8451;0.006672583307446315;16.821770514370417
1190;299.708;51.4504;-447787e-9;0.0325306;73.2481;0.006575375378532315;16.840727318783554
1200;299.704;51.7771;-423547e-9;0.0327179;73.6697;0.006631331922314788;16.85993954996957
1210;299.7;52.1061;-414012e-9;0.0329037;74.0881;0.005791419111623591;16.882893918330502
1220;299.695;52.4349;-448966e-9;0.0330713;74.4654;0.005529580978069458;16.90354095698813
1230;299.69;52.7668;-489732e-9;0.0332556;74.8804;0.005380353287587028;16.924943683943265
1240;299.686;53.101;-505089e-9;0.0334441;75.3049;0.00426243409944692;16.947836772617848
1250;299.679;53.4356;-531977e-9;0.0336114;75.6817;0.003882057357061229;16.96879337814757
1260;299.674;53.7729;-520446e-9;0.0337878;76.0788;0.0033876824330583803;16.99137035043826
1270;299.67;54.1126;-491194e-9;0.0339695;76.4879;0.0025565467890507386;17.01441993248318
1280;299.664;54.4526;-491852e-9;0.0341321;76.854;0.0019950202215413566;17.036639873046404
1290;299.659;54.7947;-479547e-9;0.0342959;77.2229;0.0011251376360640868;17.0609598606514
1300;299.655;55.1396;-477385e-9;0.0344758;77.628;0.00025346341163465447;17.084179752985204
1310;299.65;55.4844;-480445e-9;0.0346338;77.9838;-0.0003366004300871678;17.106179945755173
1320;299.645;55.8318;-475821e-9;0.0347933;78.343;-0.0013612056767397483;17.13214703229964
1330;299.64;56.1811;-474816e-9;0.0349632;78.7254;-0.0023602006297600733;17.154651072474735
1340;299.635;56.5315;-474887e-9;0.0351187;79.0755;-0.0029131668822579295;17.179951765717977
1350;299.631;56.8836;-465563e-9;0.0352757;79.429;-0.004000912361231342;17.205383495354475
1360;299.626;57.2373;-469882e-9;0.0354361;79.7904;-0.004790943449616329;17.2285571505028
1370;299.622;57.5923;-46399e-8;0.035586;80.1277;-0.005553219531191577;17.253287774632057
1380;299.617;57.9485;-457265e-9;0.0357313;80.4549;-0.006516509646534318;17.277547484250583
1390;299.613;58.3072;-450796e-9;0.0358894;80.8109;-0.00753774648889434;17.30066833680369
1400;299.608;58.6668;-454703e-9;0.0360279;81.1227;-0.008001974049971407;17.326883511346676
1410;299.604;59.0284;-43985e-8;0.0361763;81.457;-0.009054767438925667;17.35173790795453
1420;299.6;59.3905;-427422e-9;0.0363078;81.753;-0.009941796191164039;17.376925549225113
1430;299.596;59.7541;-415235e-9;0.036436;82.0418;-0.01057602057050532;17.40524265580329
1440;299.592;60.12;-405379e-9;0.0365863;82.3801;-0.011518988285585036;17.430701970033265
1450;299.588;60.4864;-403859e-9;0.0367167;82.6739;-0.012175784765701613;17.458224185574323
1460;299.585;60.8537;-387291e-9;0.0368465;82.966;-0.013108804149422814;17.486022716188746
1470;299.58;61.2236;-392981e-9;0.0369977;83.3065;-0.013600497054443161;17.512470421836884
1480;299.576;61.5949;-397733e-9;0.0371345;83.6144;-0.013933896670666572;17.541356410641505
1490;299.573;61.9655;-377514e-9;0.0372522;83.8796;-0.01505522347056105;17.569396232304506
1500;299.567;62.3403;-393791e-9;0.0374074;84.2289;-0.0153961670067561;17.595278364257133
1510;299.564;62.7142;-380051e-9;0.03752;84.4825;-0.0160354106136748;17.62321794829696
1520;299.56;63.0899;-381633e-9;0.0376426;84.7586;-0.016498027746086982;17.6522862056909
1530;299.556;63.4684;-375847e-9;0.0377812;85.0707;-0.016922869544589197;17.680218952661427
1540;299.553;63.8458;-365868e-9;0.0378907;85.3171;-0.017679121723115344;17.70653621268493
1550;299.548;64.2251;-376569e-9;0.0380036;85.5715;-0.017777214000722442;17.736008222693588
1560;299.546;64.6068;-360581e-9;0.0381356;85.8687;-0.018193246865177426;17.761956992567427
1570;299.542;64.9884;-363674e-9;0.0382418;86.1078;-0.018591542568869607;17.792387831256054
1580;299.537;65.3721;-367682e-9;0.0383617;86.3778;-0.019016732824004713;17.82111521564692
1590;299.534;65.7561;-359316e-9;0.0384744;86.6316;-0.01936148260436538;17.848036244816807
1600;299.53;66.141;-3626e-7;0.0385734;86.8544;-0.01941208645289394;17.878256155034606
1610;299.528;66.5279;-351432e-9;0.0386886;87.1139;-0.01979586956725793;17.905952967981356
1620;299.523;66.9152;-357094e-9;0.0387919;87.3465;-0.02001493950656898;17.93510359933815
1630;299.519;67.3038;-367559e-9;0.0388904;87.5682;-0.020156388546827386;17.967504767181865
1640;299.516;67.6935;-357794e-9;0.0390014;87.8181;-0.020440270271565104;17.993319564350955
1650;299.513;68.0843;-357853e-9;0.0390996;88.0393;-0.020466127878356315;18.024368908606768
1660;299.509;68.4754;-358362e-9;0.0391927;88.2489;-0.020656185938790025;18.053314270002943
1670;299.505;68.8685;-367038e-9;0.0393016;88.4942;-0.020681129427887794;18.081727342133394
1680;299.502;69.2622;-360476e-9;0.0393954;88.7052;-0.02083941028503171;18.1137272732297
1690;299.498;69.6564;-360212e-9;0.0394872;88.9119;-0.020944976546045616;18.142410600612443
1700;299.494;70.0525;-363453e-9;0.039586;89.1345;-0.021033875291780996;18.173241815219583
1710;299.49;70.4477;-373372e-9;0.0396621;89.3057;-0.020957955982120705;18.20435435552707
