x;y;z;rho_b
301;41;1;0.505457
302;41;1;0.506284
303;41;1;0.505235
304;41;1;0.505416
305;41;1;0.504838
306;41;1;0.499629
307;41;1;0.483961
308;41;1;0.445064
309;41;1;0.364105
310;41;1;0.235516
311;41;1;0.103864
312;41;1;0.0294204
313;41;1;0.00570154
285;42;1;0.00550419
286;42;1;0.0152402
287;42;1;0.035201
288;42;1;0.0696994
289;42;1;0.119976
290;42;1;0.180863
291;42;1;0.242646
292;42;1;0.29744
293;42;1;0.342162
294;42;1;0.377238
295;42;1;0.404826
296;42;1;0.426043
297;42;1;0.440712
298;42;1;0.452712
299;42;1;0.465932
300;42;1;0.490703
301;42;1;0.503991
302;42;1;0.505115
303;42;1;0.501669
304;42;1;0.497316
305;42;1;0.487004
306;42;1;0.462156
307;42;1;0.412682
308;42;1;0.327
309;42;1;0.207784
310;42;1;0.0943435
311;42;1;0.0293965
312;42;1;0.00659931
286;43;1;0.00640307
287;43;1;0.0162874
288;43;1;0.0351812
289;43;1;0.0661395
290;43;1;0.109786
291;43;1;0.162283
292;43;1;0.216339
293;43;1;0.265238
294;43;1;0.305814
295;43;1;0.338989
296;43;1;0.366368
297;43;1;0.387057
298;43;1;0.403889
299;43;1;0.421509
300;43;1;0.459775
301;43;1;0.477744
302;43;1;0.477676
303;43;1;0.466907
304;43;1;0.446861
305;43;1;0.410184
306;43;1;0.34838
307;43;1;0.259176
308;43;1;0.155376
309;43;1;0.0693701
310;43;1;0.0227231
311;43;1;0.00569007
287;44;1;0.00639849
288;44;1;0.0152207
289;44;1;0.0311911
290;44;1;0.0563341
291;44;1;0.0910879
292;44;1;0.13309
293;44;1;0.177334
294;44;1;0.21852
295;44;1;0.254347
296;44;1;0.28514
297;44;1;0.309789
298;44;1;0.328887
299;44;1;0.342844
300;44;1;0.371486
301;44;1;0.379931
302;44;1;0.37293
303;44;1;0.349005
304;44;1;0.30565
305;44;1;0.241723
306;44;1;0.164063
307;44;1;0.0903763
308;44;1;0.0389118
309;44;1;0.0131642
288;45;1;0.00549218
289;45;1;0.0123906
290;45;1;0.0243526
291;45;1;0.0425756
292;45;1;0.0673079
293;45;1;0.0971646
294;45;1;0.129078
295;45;1;0.160077
296;45;1;0.188886
297;45;1;0.213371
298;45;1;0.229483
299;45;1;0.231418
300;45;1;0.217473
301;45;1;0.197764
302;45;1;0.180688
303;45;1;0.152748
304;45;1;0.113002
305;45;1;0.070283
306;45;1;0.0360457
307;45;1;0.0152662
308;45;1;0.00541893
290;46;1;0.00868154
291;46;1;0.016495
292;46;1;0.0280311
293;46;1;0.0432442
294;46;1;0.0611743
295;46;1;0.0802439
296;46;1;0.0993352
297;46;1;0.116433
298;46;1;0.1254
299;46;1;0.117868
300;46;1;0.0774355
301;46;1;0.0484469
302;46;1;0.036509
303;46;1;0.0266909
304;46;1;0.0168234
305;46;1;0.00877335
292;47;1;0.00946669
293;47;1;0.0156545
294;47;1;0.0234481
295;47;1;0.0321271
296;47;1;0.0408964
297;47;1;0.0485619
298;47;1;0.0515269
299;47;1;0.0447448
300;47;1;0.0194081
301;47;1;0.00591904
294;48;1;0.00714922
295;48;1;0.010331
296;48;1;0.0135606
297;48;1;0.0161967
298;48;1;0.0168822
299;48;1;0.0138149
